country_ch,country_en,cases,deaths
美國,United States,"34,516,883","622,158"
印度,India,"31,371,901","420,551"
巴西,Brazil,"19,688,663","549,924"
俄羅斯,Russia,"6,126,541","153,874"
法國,France,"5,993,937","111,644"
英國,United Kingdom,"5,697,912","129,158"
土耳其,Turkey,"5,601,608","50,934"
阿根廷,Argentina,"4,846,615","103,721"
哥倫比亞,Colombia,"4,727,846","118,868"
義大利,Italy,"4,317,415","127,949"
西班牙,Spain,"4,280,429","81,221"
德國,Germany,"3,755,898","91,524"
伊朗,Iran,"3,691,432","88,800"
印尼,Indonesia,"3,166,505","83,279"
波蘭,Poland,"2,882,146","75,242"
墨西哥,Mexico,"2,741,983","238,316"
南非,South Africa,"2,377,823","69,775"
烏克蘭,Ukraine,"2,248,450","52,847"
秘魯,Peru,"2,102,904","195,795"
荷蘭,Netherlands,"1,843,521","17,800"
捷克,Czech Republic,"1,672,409","30,357"
智利,Chile,"1,609,177","35,026"
伊拉克,Iraq,"1,552,648","18,287"
菲律賓,Philippines,"1,548,755","27,224"
加拿大,Canada,"1,425,987","26,544"
孟加拉,Bangladesh,"1,164,635","19,274"
比利時,Belgium,"1,113,465","25,220"
瑞典,Sweden,"1,096,799","14,615"
羅馬尼亞,Romania,"1,082,292","34,268"
馬來西亞,Malaysia,"1,013,438","7,994"
巴基斯坦,Pakistan,"1,004,694","23,016"
葡萄牙,Portugal,"953,059","17,292"
日本,Japan,"870,737","15,128"
以色列,Israel,"860,652","6,460"
匈牙利,Hungary,"809,101","30,020"
約旦,Jordan,"764,983","9,963"
塞爾維亞,Serbia,"720,112","7,104"
瑞士,Switzerland,"712,668","10,389"
尼泊爾,Nepal,"680,556","9,713"
阿拉伯聯合大公國,UAE,"671,636","1,920"
奧地利,Austria,"656,270","10,731"
摩洛哥,Morocco,"579,272","9,589"
突尼西亞,Tunisia,"569,289","18,600"
黎巴嫩,Lebanon,"555,302","7,892"
哈薩克,Kazakhstan,"529,269","5,382"
沙烏地阿拉伯,Saudi Arabia,"518,143","8,167"
泰國,Thailand,"497,302","4,059"
厄瓜多,Ecuador,"480,720","30,797"
希臘,Greece,"475,919","12,874"
玻利維亞,Bolivia,"467,975","17,637"
巴拉圭,Paraguay,"448,918","14,593"
白俄羅斯,Belarus,"440,708","3,394"
巴拿馬,Panama,"429,083","6,750"
保加利亞,Bulgaria,"423,686","18,194"
喬治亞,Georgia,"402,759","5,688"
哥斯大黎加,Costa Rica,"398,608","4,941"
科威特,Kuwait,"392,617","2,284"
斯洛伐克,Slovakia,"392,348","12,534"
烏拉圭,Uruguay,"380,431","5,931"
克羅埃西亞,Croatia,"362,621","8,245"
瓜地馬拉,Guatemala,"352,088","10,100"
巴勒斯坦,Palestine,"344,931","3,867"
亞塞拜然,Azerbaijan,"340,443","5,006"
多明尼加,Dominican,"340,053","3,937"
古巴,Cuba,"332,968","2,351"
丹麥,Denmark,"312,582","2,543"
委內瑞拉,Venezuela,"298,804","3,475"
斯里蘭卡,Sri Lanka,"296,516","4,099"
愛爾蘭,Ireland,"292,996","5,026"
阿曼,Oman,"289,042","3,498"
宏都拉斯,Honduras,"286,635","7,594"
埃及,Egypt,"283,985","16,481"
立陶宛,Lithuania,"280,966","4,410"
衣索比亞,Ethiopia,"278,543","4,369"
緬甸,Myanmar,"269,525","7,111"
巴林,Bahrain,"268,541","1,383"
斯洛維尼亞,Slovenia,"258,651","4,428"
摩爾多瓦,Moldova,"258,624","6,243"
利比亞,Libya,"233,449","3,375"
亞美尼亞,Armenia,"228,798","4,587"
卡達,Qatar,"225,198",600
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"205,420","9,675"
肯亞,Kenya,"197,409","3,865"
尚比亞,Zambia,"192,071","3,272"
韓國,South Korea,"188,848","2,073"
奈及利亞,Nigeria,"170,895","2,132"
阿爾及利亞,Algeria,"162,155","4,063"
吉爾吉斯,Kyrgyzstan,"157,147","2,249"
蒙古,Mongolia,"156,737",774
北馬其頓,North Macedonia,"156,255","5,489"
阿富汗,Afghanistan,"144,285","6,480"
拉脫維亞,Latvia,"138,481","2,550"
挪威,Norway,"135,714",799
阿爾巴尼亞,Albania,"132,875","2,456"
愛沙尼亞,Estonia,"132,458","1,271"
烏茲別克,Uzbekistan,"124,290",832
納米比亞,Namibia,"116,603","2,811"
莫三比克,Mozambique,"108,760","1,257"
科索沃,Kosovo,"108,017","2,265"
芬蘭,Finland,"102,972",978
迦納,Ghana,"101,170",821
蒙特內哥羅,Montenegro,"101,130","1,624"
越南,Vietnam,"98,465",370
辛巴威,Zimbabwe,"97,894","3,094"
波札那,Botswana,"97,657","1,375"
賽普勒斯,Cyprus,"96,991",399
中國大陸,China,"92,605","4,636"
烏干達,Uganda,"92,490","2,557"
薩爾瓦多,El Salvador,"84,691","2,558"
喀麥隆,Cameroon,"82,003","1,334"
馬爾地夫,Maldives,"76,750",219
盧森堡,Luxembourg,"73,412",821
柬埔寨,Cambodia,"72,923","1,283"
新加坡,Singapore,"64,179",37
盧安達,Rwanda,"62,946",742
塞內加爾,Senegal,"57,263","1,281"
牙買加,Jamaica,"51,828","1,173"
象牙海岸,Ivory Coast,"49,554",324
馬拉威,Malawi,"48,637","1,480"
剛果民主共和國,DR Congo,"48,128","1,023"
馬達加斯加,Madagascar,"42,599",939
安哥拉,Angola,"41,736",982
千里達及托巴哥,Trinidad and Tobago,"37,554","1,039"
蘇丹,Sudan,"37,138","2,776"
馬爾他,Malta,"33,668",421
維德角,Cape Verde,"33,541",297
澳洲,Australia,"32,915",918
敘利亞,Syria,"25,877","1,906"
加彭,Gabon,"25,325",163
幾內亞,Guinea,"24,993",198
蘇利南,Suriname,"24,797",628
茅利塔尼亞,Mauritania,"23,555",528
斐濟,Fiji,"23,139",186
史瓦帝尼,Eswatini,"22,687",747
蓋亞那,Guyana,"22,090",523
海地,Haiti,"19,783",526
塞席爾,Seychelles,"17,747",89
巴布亞紐幾內亞,Papua New Guinea,"17,637",192
臺灣,Taiwan,"15,571",786
多哥,Togo,"15,149",146
塔吉克,Tajikistan,"14,761",117
馬利,Mali,"14,542",530
安道爾,Andorra,"14,498",127
貝里斯,Belize,"13,917",332
巴哈馬,Bahamas,"13,781",274
布吉納法索,Burkina Faso,"13,538",169
剛果共和國,Congo,"13,117",176
賴索托,Lesotho,"12,787",357
香港,Hong Kong,"11,979",212
索馬利亞,Somalia,"11,907",514
吉布地,Djibouti,"11,635",155
南蘇丹,South Sudan,"10,917",117
東帝汶,East Timor,"10,337",26
赤道幾內亞,Equatorial Guinea,"8,863",123
貝南,Benin,"8,324",107
甘比亞,Gambia,"7,333",208
尼加拉瓜,Nicaragua,"7,313",194
冰島,Iceland,"7,233",30
中非,Central Africa,"7,147",98
葉門,Yemen,"7,012","1,373"
厄利垂亞,Eritrea,"6,495",33
獅子山,Sierra Leone,"6,228",118
蒲隆地,Burundi,"6,128",8
尼日,Niger,"5,598",195
聖露西亞,Saint Lucia,"5,516",88
賴比瑞亞,Liberia,"5,396",148
聖馬利諾,San Marino,"5,099",90
查德,Chad,"4,969",174
寮國,Laos,"4,762",5
索馬利蘭,Somaliland,"4,608",311
巴貝多,Barbados,"4,339",48
幾內亞比索,Guinea-Bissau,"4,208",74
葛摩,Comoros,"4,021",147
模里西斯,Mauritius,"3,735",19
列支敦斯登,Liechtenstein,"3,075",59
摩納哥,Monaco,"2,779",33
紐西蘭,New Zealand,"2,506",26
不丹,Bhutan,"2,486",2
聖多美普林西比,Sao Tome and Principe,"2,424",37
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"2,271",12
安地卡及巴布達,Antigua and Barbuda,"1,280",43
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
聖克里斯多福及尼維斯,Saint Kitts and Nevis,564,3
坦尚尼亞,Tanzania,509,21
汶萊,Brunei,321,3
多米尼克,Dominica,209,0
格瑞那達,Grenada,164,1
澳門,Macao,59,0
教廷,Holy See,27,0
索羅門群島,Solomon islands,20,0
萬那杜,Vanuatu,4,1
馬紹爾群島,Marshall Islands,4,0
帛琉,Palau,2,0
薩摩亞,Samoa,1,0
密克羅尼西亞聯邦,Micronesia,1,0
